comentario;nota;data
O belo Jardim Botânico de Curitiba fica localizado na Rua Eng. Ostoja Roguski e é considerado um dos principais pontos turísticos da cidade de Curitiba, foi inaugurado em outubro de 1991 e seu nome oficial é Jardim Botânico Francisca Richbieter e presta homenagem a uma urbanista que foi pioneira no trabalho de planejamento urbano da capital paranaense. O Jardim Botânico possui uma área total de 278 mil metros quadrados, incluindo a área de bosque com mata atlântica  preservada e em 2007 foi o monumento mais votado, em uma eleição para escolha das Sete Maravilhas do Brasil,  promovido pelo site Mapa-Múndi. O local chama a atenção pela imponência, organização e beleza,  possui um jardim no estilo francês, diversas fontes, chafariz, lago, pontes de madeira, ruas limpas e muito bem cuidadas e tem ao fundo, um dos principais cartões postais da região, que é a bela estufa que abriga um jardim com inúmeros exemplares vegetais do Brasil e de outros países.As estufas ficam espalhados por alamedas de ferro e vidro e a principal delas possui três abóbadas do estilo Art Nouveau e foi inspirada no Palácio de Cristal de Londres do século XIX, a estufa é climatizada e abriga também espécies da Floresta Atlântica e do seu interior é possível ter uma vista privilegiada do jardim. Na parte de trás da estufa, tem um espaço coberto que abriga uma exposição de plantas e flores e um café escola do Senac.Na entrada tem estacionamento pago, uma lanchonete e banheiros públicos, o acesso ao Jardim Botânico é gratuito.;5.0;fev de 2023
Simplesmente maravilhoso, super organizado, limpo e tem uma cafeteria dis DEUSES.Os jardins estão super floridos e tivemos no dua de nossa visita um lindo dia de sol.;5.0;fev de 2023
Imperdível. Rende fotos excelentes se tiver um dia bonito. Mas vale o passeio, de qualquer forma. Recomendo ver todos os lugares do Jardim.;5.0;mar de 2023
Um dos mais belos locais de curitiba! Com estacionamento e entrada gratuita, proporciona um passeio maravilhoso! Possui um cafézinho encantador, com uma lojinha cheia de itens bonitos.  A exposição atrás da estufa nos deixou ainda mais encantados. Vale muito a pena!;5.0;mar de 2023
O lugar é maravilhoso, pra você que é turista não deixe de conhecer o Jardim Botânico em Curitiba/PR. ;5.0;fev de 2023
Melhor Jardim Botanico do Brasil. O do RJ nao chega nos pés. Recomendo a visita, fazer uma corrida e entrar na mata.;5.0;fev de 2023
Jardim é bonito na entrada e você pode acessar o predio de ferro e vidro, dentro possui um jardim coberto com algumas arvores altas. Atras possui uma 'estufa' semi-coberta com outras flores bonitinha.Mas assim, é um ponto só pra ir ver as flores, achar bonito e após 10 minutos de visita você ja viu tudo. Eu esperava mais assim;3.0;fev de 2023
Além da beleza do local, tem espaço de estacionamento e anexo tem o jardim das sensações que achei incrível.;5.0;set de 2022
Sempre bem conservado, organizado, limpo. Os jardins impecáveis! Lugar amplo, ar puro. Perfeito! Excelente para ir com família e crianças.;5.0;fev de 2023
Que lugar belíssimo! Organizado, acessível e majestoso! Tenha cuidado ao visitar no verão, pegamos um solzinho bom.;5.0;fev de 2023
Dei sorte de pegar um lindo dia de céu azul, foi uma experiência incrível, recomendo uma caminhada por todo o parque, visitando a exposição e o jardim sensorial.;5.0;fev de 2023
O Jardim Botãnico é sempre um ótimo passeio. Parte externa muito bem cuidada. As estufas eu achei fracas desta vez que fui. Já estive lá antes e eram mais ricas.;4.0;nov de 2022
Lindo e incrível ! Bom para passeio em família e para quem gosta de fotos belíssimas. Super recomendo! ;5.0;jan de 2023
Tanto a noite quanto durante o dia, a experiência é incrível, a beleza desse lugar é surreal, e mesmo com chuva (que foi o meu caso) é muito bom!;5.0;out de 2022
Um dos parques mais lindos de Curitiba, abriga espécies diversas de plantas nacionais, endêmicas e outras que se adaptaram a nossa Flora. Vale muito a pena conhecer.;5.0;fev de 2022
